Energy (MeV),NIEL (MeV cm^2 g^-1)
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,0.0
0.35,0.0
0.4,7.815e-07
0.45,2.2757e-06
0.5,3.7145e-06
0.55,5.1034e-06
0.6,6.4462e-06
0.65,7.7459e-06
0.7,9.005e-06
0.75,1.0226e-05
0.8,1.141e-05
0.85,1.256e-05
0.9,1.3676e-05
0.95,1.4762e-05
1.0,1.5817e-05
1.5,2.4999e-05
2.0,3.2308e-05
2.5,3.8338e-05
3.0,4.3447e-05
3.5,4.7865e-05
4.0,5.1747e-05
4.5,5.5201e-05
5.0,5.8307e-05
5.5,6.1124e-05
6.0,6.3698e-05
6.5,6.6065e-05
7.0,6.8252e-05
7.5,7.0284e-05
8.0,7.2178e-05
8.5,7.3951e-05
9.0,7.5616e-05
9.5,7.7184e-05
10.0,7.8664e-05
15.0,9.0023e-05
20.0,9.7544e-05
25.0,0.00010293
30.0,0.00010695
35.0,0.00011004
40.0,0.00011244
45.0,0.00011435
50.0,0.00011587
55.0,0.00011708
60.0,0.00011807
65.0,0.00011887
70.0,0.00011952
75.0,0.00012006
80.0,0.0001205
85.0,0.00012087
90.0,0.00012117
95.0,0.00012142
100.0,0.00012163
150.0,0.00012252
200.0,0.00012265
250.0,0.00012263
300.0,0.00012257
350.0,0.0001225
400.0,0.00012244
450.0,0.00012238
500.0,0.00012234
550.0,0.00012229
600.0,0.00012226
650.0,0.00012222
700.0,0.00012219
750.0,0.00012217
800.0,0.00012214
850.0,0.00012212
900.0,0.0001221
950.0,0.00012209
1000.0,0.00012207
1500.0,0.00012196
2000.0,0.00012191
2500.0,0.00012187
3000.0,0.00012185
3500.0,0.00012183
4000.0,0.00012182
4500.0,0.00012181
5000.0,0.0001218
5500.0,0.0001218
6000.0,0.00012179
6500.0,0.00012178
7000.0,0.00012178
7500.0,0.00012178
8000.0,0.00012177
8500.0,0.00012177
9000.0,0.00012177
9500.0,0.00012177
10000.0,0.00012176
